id,parameter_id,name              
1,1,Common
2,2,Common
3,3,Common
4,4,Common
5,5,Common
6,6,Residential
7,6,Commercial
8,7,Common
9,8,Common
10,9,Common
11,10,Common
12,11,Common
13,12,Residential
14,12,Commercial
15,13,Common
16,14,House
17,14,Common
18,14,Flat
19,14,Land
20,14,Commercial
21,15,Let
22,15,Sale
23,16,Common
24,17,Common
25,18,Common
26,19,Common
27,20,Managed
28,20,Common
29,21,Common
30,22,Common
31,23,Common
32,24,Recharge
33,24,Services
34,24,Contract
35,24,Delivery
36,24,Expenses
37,24,Office
38,24,Marketing
39,25,Common
40,26,Residential
41,26,Commercial
42,29,Common
43,31,Common
44,32,Employed
45,32,Self-employed
46,32,Not working
47,34,Common
48,35,Common
